,,paragraphs,pre
104,1,Is that woman a complete fruit-loop or is it just me?,38
687,0,Is that all that interests youGold?,38
941,0,Is that the man I knewTreasurer Sanchez?,38
1169,0,Is that all there is?,38
1429,0,What is that?,38
1945,1,Heywhat kind of talk is that?,38
2518,0,Is that the usual way priests go on vacation?,38
2678,0,Is that all?,38
2856,0,Is that better?,38
2960,1,What the fuck!,17
3036,0,Is that him?,38
3091,1,What the fuck do you want from me?,17
3103,1,What the fuck am I gonna protect that freak forHe was Dino's boynot mineHe shows up with his mask onleaves with his mask onNobody knows.,17
3119,1,What the fuck are you?,17
4166,1,What the fuck you telling meWadeI never seen the guy get shotI told you that.,17
4172,1,Who the fuck knowsMusta slipped or somethingI just heard the gun go off.,17
4759,0,TONMrPresidentit's an honorNow with your permission can we lead you the fuck out of here.,17
6067,1,Well that's greatThat's just fucking greatmanNow what the fuck are we supposed to domanWe're in some real pretty shit now!,17
6069,0,Let's get the fuck out of here!,17
6117,0,All rightwe can't blow the fuck out of them...why not roll some canisters of CN-20 down thereNerve gas the whole nest?,17
7023,1,How is that possibleYou give concertsdon't youI hear they are quite successful.,38
7457,0,How is that?,38
7665,1,Get the fuck out of hereJack.,17
7682,0,Oh shitWhat is that?,38
7693,0,ShitDavidwhat is that?,38
7753,0,We've known Debbie whatsince the eighth gradeHow many years of foreplay is that?,38
8024,0,SONWhatever it is that makes you such a riot with women.,38
8981,0,What is that?,38
9014,1,What the hell is that sound?,38
9016,0,What is that?,38
9098,0,Is that Donald Trump's car?,38
9416,0,Is that the Ransom fileThanksDon't wear that outfit again.,38
9691,0,Is that a raincoat?,38
10152,0,Is that myscenarioTell me.,38
10216,0,Is that how Larry feels?,38
10240,0,Can we buy into their IPOOr is that a Justice Deptproblem?,38
10960,1,Is that all?,38
10993,1,Is that what you think?,38
11014,1,Is that written in his shoe?,38
11545,0,Is that all the coke in the place?,38
11671,1,What the hell is that?,38
11717,1,You stupid son of a bitchWhat the fuck are you doing!,17
11723,1,What the fuck were you thinkinghuhBurning peopleYou're a fireman.,17
11994,1,Who the fuck is doing this?,17
12348,1,What the fuck are youA drug counselor or a drug dealerAnd you don't even do your own productWhat kind of businessman are you?,17
12750,0,Is that so?,38
12838,1,What point is that?,38
